16:44:48.962 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:44:49.506 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:44:56.752 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:44:57.419 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:45:52.763 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:46:14.316 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:46:15.783 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:46:25.110 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:46:25.731 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:46:26.432 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:46:26.839 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:46:29.827 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:46:31.813 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:46:32.375 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:46:32.776 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:46:33.284 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:46:35.699 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:46:44.640 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:46:46.567 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:46:50.143 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:47:03.676 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:47:04.907 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:47:05.827 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:47:07.564 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:47:16.308 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:47:20.573 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:47:21.267 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:47:22.007 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:47:22.547 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:47:26.831 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:47:30.889 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:47:42.311 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:47:59.659 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:48:00.316 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:48:41.439 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:48:41.824 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:48:42.761 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:48:43.244 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
16:48:49.589 -- °ÔCHECKF(header.nCols == 16 || header.nCols == 17 || header.nCols == 23)°Ô in .\WoWDatabase.cpp, 471
